100000 1.0E-4 8 8
100000 2.0E-4 7 31
100000 3.0E-4 2 4
100000 4.0E-4 2 20
100000 5.0E-4 2 14

200000 1.0E-4 7 25
200000 2.0E-4 7 23
200000 3.0E-4 5 13
200000 4.0E-4 7 6
200000 5.0E-4 4 30

300000 1.0E-4 10 7
300000 2.0E-4 10 10
300000 3.0E-4 10 7
300000 4.0E-4 3 5
300000 5.0E-4 7 18

400000 1.0E-4 17 9
400000 2.0E-4 21 20
400000 3.0E-4 22 79
400000 4.0E-4 19 10
400000 5.0E-4 16 20

500000 1.0E-4 3 4
500000 2.0E-4 17 10
500000 3.0E-4 18 13
500000 4.0E-4 27 15
500000 5.0E-4 7 8

600000 1.0E-4 37 41
600000 2.0E-4 36 194
600000 3.0E-4 14 12
600000 4.0E-4 3 4
600000 5.0E-4 36 19

700000 1.0E-4 20 61
700000 2.0E-4 39 17
700000 3.0E-4 51 24
700000 4.0E-4 12 174
700000 5.0E-4 17 16

800000 1.0E-4 313 69
800000 2.0E-4 23 11
800000 3.0E-4 69 39
800000 4.0E-4 75 35
800000 5.0E-4 72 295

900000 1.0E-4 2213 124
900000 2.0E-4 332 46
900000 3.0E-4 63 43
900000 4.0E-4 81 36
900000 5.0E-4 6 7

1000000 1.0E-4 118 192
1000000 2.0E-4 78 121
1000000 3.0E-4 44 405
1000000 4.0E-4 80 34
1000000 5.0E-4 11 12

100000 1.0E-4 7 6
100000 1.0E-4 6 20
100000 1.0E-4 6 3
100000 1.0E-4 2 3
100000 1.0E-4 2 3
100000 2.0E-4 2 18
100000 2.0E-4 3 21
100000 2.0E-4 3 22
100000 2.0E-4 2 22
100000 2.0E-4 2 24
100000 3.0E-4 2 17
100000 3.0E-4 2 15
100000 3.0E-4 0 7
100000 3.0E-4 1 5
100000 3.0E-4 1 7
100000 4.0E-4 2 12
100000 4.0E-4 1 2
100000 4.0E-4 1 1
100000 4.0E-4 1 1
100000 4.0E-4 1 1
100000 5.0E-4 1 1
100000 5.0E-4 0 3
100000 5.0E-4 0 1
100000 5.0E-4 0 1
100000 5.0E-4 1 1

200000 1.0E-4 4 4
200000 1.0E-4 3 3
200000 1.0E-4 4 6
200000 1.0E-4 4 4
200000 1.0E-4 3 4
200000 2.0E-4 3 2
200000 2.0E-4 2 2
200000 2.0E-4 2 2
200000 2.0E-4 1 2
200000 2.0E-4 1 6
200000 3.0E-4 3 30
200000 3.0E-4 3 3
200000 3.0E-4 2 3
200000 3.0E-4 2 2
200000 3.0E-4 3 2
200000 4.0E-4 4 3
200000 4.0E-4 5 3
200000 4.0E-4 4 14
200000 4.0E-4 5 3
200000 4.0E-4 5 5
200000 5.0E-4 5 3
200000 5.0E-4 3 3
200000 5.0E-4 4 3
200000 5.0E-4 4 3
200000 5.0E-4 3 4

300000 1.0E-4 10 5
